Time, Stove, Ready, Assistants, Remarks
1, -- Idle --, adobo(Cook - 30)   , , adobo arrives. Preheating stove. 
2, adobo(Cook - 30), , , 
3, adobo(Cook - 29), , , 
4, adobo(Cook - 28), , , 
5, adobo(Cook - 27), , tinola(Prep - 10)   , tinola arrives. 
6, adobo(Cook - 26), , tinola(Prep - 9)   , 
7, adobo(Cook - 25), , tinola(Prep - 8)   , 
8, adobo(Cook - 24), karekare(Cook - 20)   , tinola(Prep - 7)   , karekare arrives. 
9, adobo(Cook - 23), karekare(Cook - 20)   , tinola(Prep - 6)   , 
10, adobo(Cook - 22), karekare(Cook - 20)   , tinola(Prep - 5)   , 
11, adobo(Cook - 21), karekare(Cook - 20)   , tinola(Prep - 4)   , 
12, adobo(Cook - 20), karekare(Cook - 20)   , tinola(Prep - 3)   , 
13, adobo(Cook - 19), karekare(Cook - 20)   , tinola(Prep - 2)   , 
14, adobo(Cook - 18), karekare(Cook - 20)   , tinola(Prep - 1)   , 
15, adobo(Cook - 17), tinola(Cook - 10)   karekare(Cook - 20)   , , 
16, adobo(Cook - 16), tinola(Cook - 10)   karekare(Cook - 20)   , , 
17, adobo(Cook - 15), tinola(Cook - 10)   karekare(Cook - 20)   , , 
18, adobo(Cook - 14), tinola(Cook - 10)   karekare(Cook - 20)   , , 
19, adobo(Cook - 13), tinola(Cook - 10)   karekare(Cook - 20)   , , 
20, adobo(Cook - 12), tinola(Cook - 10)   karekare(Cook - 20)   , , 
21, adobo(Cook - 11), tinola(Cook - 10)   karekare(Cook - 20)   , , 
22, adobo(Cook - 10), tinola(Cook - 10)   karekare(Cook - 20)   , , 
23, adobo(Cook - 9), tinola(Cook - 10)   karekare(Cook - 20)   , , 
24, adobo(Cook - 8), tinola(Cook - 10)   karekare(Cook - 20)   , , 
25, adobo(Cook - 7), tinola(Cook - 10)   karekare(Cook - 20)   , , 
26, adobo(Cook - 6), tinola(Cook - 10)   karekare(Cook - 20)   , , 
27, adobo(Cook - 5), tinola(Cook - 10)   karekare(Cook - 20)   , , 
28, adobo(Cook - 4), tinola(Cook - 10)   karekare(Cook - 20)   , , 
29, adobo(Cook - 3), tinola(Cook - 10)   karekare(Cook - 20)   , , 
30, adobo(Cook - 2), tinola(Cook - 10)   karekare(Cook - 20)   , , 
31, adobo(Cook - 1), tinola(Cook - 10)   karekare(Cook - 20)   , , 
32, -- Idle --, tinola(Cook - 10)   karekare(Cook - 20)   , , Cleaning stove. 
33, -- Idle --, tinola(Cook - 10)   karekare(Cook - 20)   , adobo(Prep - 10)   , Preheating stove. 
34, tinola(Cook - 10), karekare(Cook - 20)   , adobo(Prep - 9)   , 
35, tinola(Cook - 9), karekare(Cook - 20)   , adobo(Prep - 8)   , 
36, tinola(Cook - 8), karekare(Cook - 20)   , adobo(Prep - 7)   , 
37, tinola(Cook - 7), karekare(Cook - 20)   , adobo(Prep - 6)   , 
38, tinola(Cook - 6), karekare(Cook - 20)   , adobo(Prep - 5)   , 
39, tinola(Cook - 5), karekare(Cook - 20)   , adobo(Prep - 4)   , 
40, tinola(Cook - 4), karekare(Cook - 20)   , adobo(Prep - 3)   , 
41, tinola(Cook - 3), karekare(Cook - 20)   , adobo(Prep - 2)   , 
42, tinola(Cook - 2), karekare(Cook - 20)   , adobo(Prep - 1)   , 
43, tinola(Cook - 1), adobo(Cook - 30)   karekare(Cook - 20)   , , 
44, -- Idle --, adobo(Cook - 30)   karekare(Cook - 20)   , , Cleaning stove. 
45, -- Idle --, adobo(Cook - 30)   karekare(Cook - 20)   , tinola(Prep - 10)   , Preheating stove. 
46, adobo(Cook - 30), karekare(Cook - 20)   , tinola(Prep - 9)   , 
47, adobo(Cook - 29), karekare(Cook - 20)   , tinola(Prep - 8)   , 
48, adobo(Cook - 28), karekare(Cook - 20)   , tinola(Prep - 7)   , 
49, adobo(Cook - 27), karekare(Cook - 20)   , tinola(Prep - 6)   , 
50, adobo(Cook - 26), karekare(Cook - 20)   , tinola(Prep - 5)   , 
51, adobo(Cook - 25), karekare(Cook - 20)   , tinola(Prep - 4)   , 
52, adobo(Cook - 24), karekare(Cook - 20)   , tinola(Prep - 3)   , 
53, adobo(Cook - 23), karekare(Cook - 20)   , tinola(Prep - 2)   , 
54, adobo(Cook - 22), karekare(Cook - 20)   , tinola(Prep - 1)   , 
55, adobo(Cook - 21), tinola(Cook - 10)   karekare(Cook - 20)   , , 
56, adobo(Cook - 20), tinola(Cook - 10)   karekare(Cook - 20)   , , 
57, adobo(Cook - 19), tinola(Cook - 10)   karekare(Cook - 20)   , , 
58, adobo(Cook - 18), tinola(Cook - 10)   karekare(Cook - 20)   , , 
59, adobo(Cook - 17), tinola(Cook - 10)   karekare(Cook - 20)   , , 
60, adobo(Cook - 16), tinola(Cook - 10)   karekare(Cook - 20)   , , 
61, adobo(Cook - 15), tinola(Cook - 10)   karekare(Cook - 20)   , , 
62, adobo(Cook - 14), tinola(Cook - 10)   karekare(Cook - 20)   , , 
63, adobo(Cook - 13), tinola(Cook - 10)   karekare(Cook - 20)   , , 
64, adobo(Cook - 12), tinola(Cook - 10)   karekare(Cook - 20)   , , 
65, adobo(Cook - 11), tinola(Cook - 10)   karekare(Cook - 20)   , , 
66, adobo(Cook - 10), tinola(Cook - 10)   karekare(Cook - 20)   , , 
67, adobo(Cook - 9), tinola(Cook - 10)   karekare(Cook - 20)   , , 
68, adobo(Cook - 8), tinola(Cook - 10)   karekare(Cook - 20)   , , 
69, adobo(Cook - 7), tinola(Cook - 10)   karekare(Cook - 20)   , , 
70, adobo(Cook - 6), tinola(Cook - 10)   karekare(Cook - 20)   , , 
71, adobo(Cook - 5), tinola(Cook - 10)   karekare(Cook - 20)   , , 
72, adobo(Cook - 4), tinola(Cook - 10)   karekare(Cook - 20)   , , 
73, adobo(Cook - 3), tinola(Cook - 10)   karekare(Cook - 20)   , , 
74, adobo(Cook - 2), tinola(Cook - 10)   karekare(Cook - 20)   , , 
75, adobo(Cook - 1), tinola(Cook - 10)   karekare(Cook - 20)   , , 
76, -- Idle --, tinola(Cook - 10)   karekare(Cook - 20)   , , Cleaning stove. 
